id,claim,gold_label,predicted_label,is_correct,confidence,contradiction,entailment,neutral,subject,candidate_sentences,page,evidence
37,The Great Barrier Reef is in Australia,SUPPORTS,REFUTES,False,0.9885,0.9885,0.0005,0.011,Great Barrier Reef,40,Belize Barrier Reef,"Charles Darwin described it as ""the most remarkable reef in the West Indies"" in 1842."
38,The Great Barrier Reef is in the Mediterranean Sea,REFUTES,REFUTES,True,0.9924,0.9924,0.0007,0.007,Great Barrier Reef,40,Great Barrier Reef,"The reef is located in the Coral Sea, off the coast of Queensland, Australia."
39,The Amazon rainforest is primarily located in South America,SUPPORTS,SUPPORTS,True,0.6112,0.0938,0.6112,0.295,Amazon rainforest,40,Amazon rainforest,"The Amazon rainforest, also called the Amazon jungle, Amazonia, or simply the Amazon, is a moist broadleaf tropical rainforest in the Amazon biome that covers most of the Amazon basin of South America."
40,The Amazon rainforest is primarily located in Europe,REFUTES,REFUTES,True,0.9927,0.9927,0.0002,0.0071,Amazon rainforest,40,Deforestation of the Amazon rainforest,"Cattle ranching in the Brazilian Amazon has been identified as the primary cause of deforestation, accounting for about 80% of all deforestation in the region."
41,Water has the chemical formula H2O,SUPPORTS,SUPPORTS,True,0.9804,0.0046,0.9804,0.015,Water,40,Water,Water is an inorganic compound with the chemical formula H2O.
42,Water has the chemical formula CO2,REFUTES,REFUTES,True,0.826,0.826,0.0071,0.1669,Water,40,Water polo,"A game consists mainly of the players swimming to move about the pool, treading water (mainly using the eggbeater kick), passing the ball, and shooting at the goal."
43,Carbon dioxide has the chemical formula CO2,SUPPORTS,SUPPORTS,True,0.9843,0.0035,0.9843,0.0122,Carbon dioxide,40,Carbon dioxide,Carbon dioxide is a chemical compound with the chemical formula CO2.
44,Carbon dioxide has the chemical formula H2O,REFUTES,SUPPORTS,False,0.695,0.1341,0.695,0.1709,Carbon dioxide,40,Carbon dioxide,"When carbon dioxide dissolves in water, it forms carbonate and mainly bicarbonate (HCO3–), which causes ocean acidification as atmospheric CO2 levels increase."
45,Oxygen has the chemical symbol O,SUPPORTS,SUPPORTS,True,0.9883,0.0028,0.9883,0.009,Oxygen,22,Oxygen,Oxygen is a chemical element; it has the symbol O and its atomic number is 8.
46,Oxygen has the chemical symbol Au,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Oxygen,0,,
47,Gold has the chemical symbol Au,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Gold,0,,
48,Gold has the chemical symbol Ag,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Gold,0,,
49,The chemical symbol for sodium is Na,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,chemical symbol for sodium,0,,
50,The chemical symbol for sodium is S,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,chemical symbol for sodium,0,,
51,The chemical symbol for iron is Fe,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,chemical symbol for iron,0,,
52,The chemical symbol for iron is Ir,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,chemical symbol for iron,0,,
53,The human heart has four chambers,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,human heart,0,,
54,The human heart has two chambers,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,human heart,0,,
55,The adult human body typically has 206 bones,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,adult human body typically,0,,
56,The adult human body typically has 306 bones,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,adult human body typically,0,,
57,Photosynthesis uses sunlight to help plants make food,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Photosynthesis uses sunlight to help,0,,
58,Photosynthesis occurs only in animals,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Photosynthesis occurs only in animals,0,,
59,The Sun is a star,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Sun,0,,
60,The Sun is a planet,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Sun,0,,
61,Jupiter is the largest planet in the Solar System,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Jupiter,0,,
62,Mercury is the largest planet in the Solar System,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Mercury,0,,
63,Mars is often called the Red Planet,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Mars,0,,
64,Mars is often called the Blue Planet,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Mars,0,,
65,Saturn is known for its prominent rings,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Saturn,0,,
66,Saturn has no rings,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Saturn,0,,
67,Venus is closer to the Sun than Earth is,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Venus,0,,
68,Venus is farther from the Sun than Neptune is,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Venus,0,,
69,Mercury is the closest planet to the Sun,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Mercury,0,,
70,Mercury is the farthest planet from the Sun,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Mercury,0,,
71,William Shakespeare wrote Romeo and Juliet,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,William Shakespeare,0,,
72,William Shakespeare wrote The Odyssey,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,William Shakespeare,0,,
73,George Orwell wrote Nineteen Eighty-Four,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,George Orwell,0,,
74,George Orwell wrote The Divine Comedy,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,George Orwell,0,,
75,Dante Alighieri wrote The Divine Comedy,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Dante Alighieri,0,,
76,Dante Alighieri wrote Hamlet,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Dante Alighieri,0,,
77,J. K. Rowling wrote the Harry Potter series,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,J K Rowling,0,,
78,J. K. Rowling wrote The Lord of the Rings,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,J K Rowling,0,,
79,The Lord of the Rings was written by J. R. R. Tolkien,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Lord of the Rings,0,,
80,The Lord of the Rings was written by Stephen King,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Lord of the Rings,0,,
81,Leonardo da Vinci painted the Mona Lisa,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Leonardo da Vinci,0,,
82,Pablo Picasso painted the Mona Lisa,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Pablo Picasso,0,,
83,Vincent van Gogh painted The Starry Night,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Vincent van Gogh,0,,
84,Claude Monet painted The Starry Night,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Claude Monet,0,,
85,Ludwig van Beethoven composed Symphony No. 5,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Ludwig van Beethoven,0,,
86,Wolfgang Amadeus Mozart composed Symphony No. 5,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Wolfgang Amadeus Mozart,0,,
87,The Titanic sank in 1912,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Titanic,0,,
88,The Titanic sank in 2002,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Titanic,0,,
89,World War II ended in 1945,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,World War II,0,,
90,World War II ended in 1918,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,World War II,0,,
91,The first human Moon landing was Apollo 11,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,first human Moon landing,0,,
92,The first human Moon landing was Apollo 13,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,first human Moon landing,0,,
93,Python is a programming language,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Python,0,,
94,Python is a database management system,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Python,0,,
95,Git is a distributed version control system,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Git,0,,
96,Git is a web browser,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Git,0,,
97,The Linux kernel was created by Linus Torvalds,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Linux kernel,0,,
98,The Linux kernel was created by Bill Gates,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Linux kernel,0,,
99,The World Wide Web was invented by Tim Berners-Lee,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,World Wide Web,0,,
100,The World Wide Web was invented by Albert Einstein,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,World Wide Web,0,,
