id,claim,gold_label,predicted_label,is_correct,confidence,contradiction,entailment,neutral,subject,candidate_sentences,page,evidence
64,Mars is often called the Blue Planet,REFUTES,REFUTES,True,0.9235,0.9235,0.0025,0.074,Mars,40,Mars,"It is also known as the ""Red Planet"", for its orange-red appearance."
65,Saturn is known for its prominent rings,SUPPORTS,REFUTES,False,0.991,0.991,0.001,0.008,Saturn,40,Saturn Corporation,"The company was known for its ""no-haggle"" sales technique."
66,Saturn has no rings,REFUTES,REFUTES,True,0.9976,0.9976,0.0004,0.002,Saturn,40,Perry Saturn,"He is a former ECW World Tag Team Champion, WCW World Tag Team Champion, WCW World Television Champion, WWF European Champion and WWF Hardcore Champion."
67,Venus is closer to the Sun than Earth is,SUPPORTS,REFUTES,False,0.9962,0.9962,0.0012,0.0026,Venus,40,VENUS,"The facility is funded by the federal and provincial governments of Canada, as well as private industry."
68,Venus is farther from the Sun than Neptune is,REFUTES,REFUTES,True,0.9963,0.9963,0.0029,0.0009,Venus,40,Venus Williams,1 in both women's singles and doubles by the Women's Tennis Association.
69,Mercury is the closest planet to the Sun,SUPPORTS,REFUTES,False,0.9983,0.9983,0.0004,0.0013,Mercury,40,Mercury Records,Mercury Records is an American record label owned by Universal Music Group.
70,Mercury is the farthest planet from the Sun,REFUTES,REFUTES,True,0.9986,0.9986,0.0005,0.0009,Mercury,40,Mercury Records,Mercury Records is an American record label owned by Universal Music Group.
71,William Shakespeare wrote Romeo and Juliet,SUPPORTS,REFUTES,False,0.9666,0.9666,0.0008,0.0327,William Shakespeare,40,Anne Hathaway (wife of Shakespeare),"Some writers, such as Samuel Schoenbaum, have assumed that she was rather old for an Elizabethan bride, but in fact it was normal for her contemporaries to marry in their 20s, although legally they could marry earlier."
72,William Shakespeare wrote The Odyssey,REFUTES,REFUTES,True,0.9944,0.9944,0.0005,0.0051,William Shakespeare,40,William Shakespeare,"At the age of 18, he married Anne Hathaway, with whom he had three children: Susanna, and twins Hamnet and Judith."
73,George Orwell wrote Nineteen Eighty-Four,SUPPORTS,SUPPORTS,True,0.9912,0.0019,0.9912,0.0069,George Orwell,40,Nineteen Eighty-Four,Nineteen Eighty-Four (also published as 1984) is a dystopian and speculative fiction novel by the English writer George Orwell.
74,George Orwell wrote The Divine Comedy,REFUTES,REFUTES,True,0.9956,0.9956,0.0002,0.0042,George Orwell,40,Nineteen Eighty-Four,"Great Britain, now known as Airstrip One, has become a province of the totalitarian superstate Oceania, which is led by Big Brother, a leader supported by an intense cult of personality manufactured by the Party's Thought Police."
75,Dante Alighieri wrote The Divine Comedy,SUPPORTS,REFUTES,False,0.9962,0.9962,0.0003,0.0035,Dante Alighieri,34,Dante Alighieri Academy,It has 926 students from grades 9–12 as of the 2018–19 school year.
76,Dante Alighieri wrote Hamlet,REFUTES,REFUTES,True,0.9966,0.9966,0.0005,0.0028,Dante Alighieri,34,Dante Alighieri Academy,"Administered by the Toronto Catholic District School Board (TCDSB), it serves the Glen Park neighbourhood in the North York district."
77,J. K. Rowling wrote the Harry Potter series,SUPPORTS,SUPPORTS,True,0.9726,0.0051,0.9726,0.0224,J K Rowling,40,Political views of J. K. Rowling,"Rowling, the creator of Harry Potter and other Wizarding World works, has supported the Labour Party under Gordon Brown and criticised the party under Jeremy Corbyn and Keir Starmer."
78,J. K. Rowling wrote The Lord of the Rings,REFUTES,REFUTES,True,0.9944,0.9944,0.0007,0.005,J K Rowling,40,Hermione Granger,Hermione Granger is a fictional character in the Harry Potter series of novels by J.
79,The Lord of the Rings was written by J. R. R. Tolkien,SUPPORTS,SUPPORTS,True,0.97,0.0023,0.97,0.0277,Lord of the Rings,40,The Lord of the Rings: The Fellowship of the Ring,"Tolkien's 1954 The Fellowship of the Ring, the first volume of the novel The Lord of the Rings."
80,The Lord of the Rings was written by Stephen King,REFUTES,REFUTES,True,0.9964,0.9964,0.0009,0.0028,Lord of the Rings,40,The Lord of the Rings: The Fellowship of the Ring,"Tolkien's 1954 The Fellowship of the Ring, the first volume of the novel The Lord of the Rings."
81,Leonardo da Vinci painted the Mona Lisa,SUPPORTS,REFUTES,False,0.9982,0.9982,0.0003,0.0016,Leonardo da Vinci,40,Rome Fiumicino Airport,"Fiumicino serves as the main hub for ITA Airways, the Italian flag carrier and the largest airline in the country, and Poste Air Cargo."
82,Pablo Picasso painted the Mona Lisa,REFUTES,REFUTES,True,0.9983,0.9983,0.0003,0.0014,Pablo Picasso,36,Chicago Picasso,"The commission was facilitated by the architect William Hartmann of the architectural firm of Skidmore, Owings & Merrill."
83,Vincent van Gogh painted The Starry Night,SUPPORTS,REFUTES,False,0.9985,0.9985,0.0004,0.0011,Vincent van Gogh,40,Vincent van Gogh,"His younger brother Theo supported him financially, and the two kept up a long correspondence by letter."
84,Claude Monet painted The Starry Night,REFUTES,REFUTES,True,0.9949,0.9949,0.0003,0.0048,Claude Monet,33,Claude Monet,"He was very close to his mother, but she died in January 1857 when he was sixteen years old, and he was sent to live with his childless, widowed but wealthy aunt, Marie-Jeanne Lecadre."
85,Ludwig van Beethoven composed Symphony No. 5,SUPPORTS,REFUTES,False,0.9948,0.9948,0.0003,0.0049,Ludwig van Beethoven,40,Ludwig van Beethoven,"His opera, Fidelio, premiered in 1805, and was later revised."
86,Wolfgang Amadeus Mozart composed Symphony No. 5,REFUTES,REFUTES,True,0.9845,0.9845,0.0003,0.0152,Wolfgang Amadeus Mozart,27,Wolfgang Amadeus Mozart,His father took him on a grand tour of Europe and then three trips to Italy.
87,The Titanic sank in 1912,SUPPORTS,SUPPORTS,True,0.9913,0.0014,0.9913,0.0073,Titanic,40,Titanic (1997 film),"Incorporating both historical and fictional aspects, it is based on accounts of the sinking of RMS Titanic in 1912."
88,The Titanic sank in 2002,REFUTES,REFUTES,True,0.9966,0.9966,0.0005,0.0029,Titanic,40,Sinking of the Titanic,RMS Titanic sank in the North Atlantic Ocean on 15 April 1912.
89,World War II ended in 1945,SUPPORTS,SUPPORTS,True,0.9703,0.003,0.9703,0.0267,World War II,40,World War II,"The war in Europe concluded with the liberation of German-occupied territories and an invasion of Germany itself, which culminated in the fall of Berlin and Germany's unconditional surrender on 8 May 1945."
90,World War II ended in 1918,REFUTES,REFUTES,True,0.992,0.992,0.0026,0.0054,World War II,40,World War II,"World War II, or the Second World War (1 September 1939 – 2 September 1945), was a global conflict between two coalitions: the Allies and the Axis powers."
91,The first human Moon landing was Apollo 11,SUPPORTS,SUPPORTS,True,0.993,0.0018,0.993,0.0051,first human Moon landing,35,Apollo 11,"Apollo 11 (July 16–24, 1969) was the American spaceflight that first landed humans on the Moon, and the fifth crewed mission of NASA's Apollo program."
92,The first human Moon landing was Apollo 13,REFUTES,REFUTES,True,0.9883,0.9883,0.0013,0.0104,first human Moon landing,35,Magnificent Desolation (book),"Magnificent Desolation: The Long Journey Home from the Moon is the second of two autobiographical books written by Buzz Aldrin, the Apollo 11 astronaut who with Neil Armstrong made the first human Moon landing."
93,Python is a programming language,SUPPORTS,REFUTES,False,0.9983,0.9983,0.0004,0.0013,Python,27,Burmese python,It is an invasive species in Florida as a result of the pet trade.
94,Python is a database management system,REFUTES,REFUTES,True,0.9984,0.9984,0.0005,0.0011,Python,35,Monty Python,"Their sketch show has been called ""an important moment in the evolution of television comedy""."
95,Git is a distributed version control system,SUPPORTS,REFUTES,False,0.9883,0.9883,0.0028,0.0089,Git,33,GitHub,"GitHub ( ) is a proprietary developer platform that allows developers to create, store, manage, and share their code."
96,Git is a web browser,REFUTES,REFUTES,True,0.992,0.992,0.001,0.007,Git,33,GitLab,GitLab is a software forge primarily developed by GitLab Inc.
97,The Linux kernel was created by Linus Torvalds,SUPPORTS,SUPPORTS,True,0.9937,0.0015,0.9937,0.0048,Linux kernel,37,Linux kernel version history,"Since the Linux kernel's creation by Linus Torvalds in 1991, it had rapidly gained popularity as many developers started contributing to the project."
98,The Linux kernel was created by Bill Gates,REFUTES,REFUTES,True,0.9972,0.9972,0.0003,0.0025,Linux kernel,37,Linux kernel version history,"Since the Linux kernel's creation by Linus Torvalds in 1991, it had rapidly gained popularity as many developers started contributing to the project."
99,The World Wide Web was invented by Tim Berners-Lee,SUPPORTS,REFUTES,False,0.9964,0.9964,0.0003,0.0033,World Wide Web,40,World Wide Web Foundation,"One of its former board members was Gordon Brown, former prime minister of the United Kingdom."
100,The World Wide Web was invented by Albert Einstein,REFUTES,REFUTES,True,0.9986,0.9986,0.0004,0.0011,World Wide Web,40,World Wide Web Foundation,"One of its former board members was Gordon Brown, former prime minister of the United Kingdom."
